Дата,ЗаявкаID,ТипКредита,Сумма,Доход,Скоринг,ВремяОбработки,Одобрено,Имя,Телефон,Цель
2024-11-15,41,Потребительский,250000,45000,47.5,5,0,Евгений Казаков,+79011234567,"Покупка ноутбука"
2024-11-15,42,Ипотека,4000000,140000,240.0,8,1,Ксения Михайлова,+79122345678,"Квартира в новостройке"
2024-11-14,43,Автокредит,900000,95000,99.5,3,1,Валерий Шестаков,+79233456789,"Nissan Qashqai"
2024-11-14,44,Потребительский,300000,55000,63.0,4,0,Оксана Рябова,+79344567890,"Косметический ремонт"
2024-11-13,45,Ипотека,3300000,135000,213.0,9,1,Илья Кудряшов,+79455678901,"Покупка дома"
2024-11-13,46,Автокредит,700000,80000,88.0,2,1,Наталья Синицына,+79566789012,"Volkswagen Polo"
2024-11-12,47,Потребительский,350000,60000,69.0,5,0,Алексей Тихонов,+79677890123,"Покупка смартфона"
2024-11-12,48,Ипотека,2800000,125000,168.0,8,1,Виктория Андреева,+79788901234,"Квартира в ипотеку"
2024-11-11,49,Автокредит,800000,90000,98.0,3,1,Антон Сорокин,+79899012345,"Mitsubishi ASX"
2024-11-11,50,Потребительский,200000,35000,37.0,4,0,Мария Ковалева,+79900123456,"Поездка за границу"
2024-11-10,51,Ипотека,3700000,130000,250.0,9,1,Иван Смирнов,+79011234567,"Квартира в новостройке"
2024-11-10,52,Автокредит,650000,75000,79.0,2,1,Татьяна Лапина,+79122345678,"Honda CR-V"
2024-11-09,53,Потребительский,250000,45000,47.5,5,0,Евгений Смирнов,+79233456789,"Покупка техники"
2024-11-09,54,Ипотека,4100000,150000,260.0,10,1,Ольга Краснова,+79344567890,"Квартира у метро"
2024-11-08,55,Автокредит,900000,100000,100.0,3,1,Александр Морозов,+79455678901,"Skoda Superb"
2024-11-08,56,Потребительский,300000,50000,60.0,4,0,Надежда Петрова,+79566789012,"Покупка мебели"
2024-11-07,57,Ипотека,3200000,120000,200.0,9,1,Максим Владимиров,+79677890123,"Квартира в ипотеку"
2024-11-07,58,Автокредит,750000,85000,92.5,2,1,Анна Сергеева,+79788901234,"Ford Kuga"
2024-11-06,59,Потребительский,200000,40000,42.0,5,0,Дмитрий Крыжнев,+79899012345,"Оплата курсов"
2024-11-06,60,Ипотека,2900000,110000,170.0,8,1,Василиса Морозова,+79900123456,"Дом за городом"
2024-11-05,61,Автокредит,850000,95000,99.5,3,1,Андрей Никитин,+79011234567,"Kia Sorento"
2024-11-05,62,Потребительский,300000,55000,63.0,4,0,Екатерина Селезнева,+79122345678,"Покупка одежды"
2024-11-04,63,Ипотека,3600000,140000,240.0,9,1,Сергей Кузнецов,+79233456789,"Квартира в новостройке"
2024-11-04,64,Автокредит,700000,80000,88.0,2,1,Любовь Лебедева,+79344567890,"Volkswagen Jetta"
2024-11-03,65,Потребительский,250000,48000,49.8,5,0,Алексей Андреев,+79455678901,"Курсы программирования"
2024-11-03,66,Ипотека,3100000,100000,191.0,8,1,Виктория Козлова,+79566789012,"Квартира в старом фонде"
2024-11-02,67,Автокредит,950000,105000,116.0,3,1,Анатолий Петров,+79677890123,"Chevrolet Niva"
2024-11-02,68,Потребительский,350000,60000,69.0,4,0,Анастасия Соколова,+79788901234,"Покупка холодильника"
2024-11-01,69,Ипотека,3900000,135000,255.0,9,1,Мария Смирнова,+79899012345,"Квартира в ипотеку"
2024-11-01,70,Автокредит,600000,70000,76.0,2,1,Игорь Синицин,+79900123456,"Toyota Corolla"
2024-10-31,71,Потребительский,200000,38000,39.8,5,0,Александр Ковалев,+79011234567,"Оплата обучения"
2024-10-31,72,Ипотека,2800000,120000,160.0,8,1,Елена Волкова,+79122345678,"Квартира у парка"
2024-10-30,73,Автокредит,900000,95000,99.5,3,1,Александр Левин,+79233456789,"Subaru Forester"
2024-10-30,74,Потребительский,300000,55000,63.0,4,0,Валерия Смирнова,+79344567890,"Покупка кухни"
2024-10-29,75,Ипотека,3400000,130000,220.0,9,1,Алексей Родионов,+79455678901,"Дом в Подмосковье"
2024-10-29,76,Автокредит,750000,85000,92.5,2,1,Екатерина Смирнова,+79566789012,"Mazda CX-5"
2024-10-28,77,Потребительский,250000,45000,47.5,5,0,Денис Крыжнев,+79677890123,"Покупка подарка"
2024-10-28,78,Ипотека,3100000,120000,190.0,8,1,Ольга Селезнева,+79788901234,"Квартира в ипотеку"
2024-10-27,79,Автокредит,800000,90000,98.0,3,1,Михаил Козлов,+79899012345,"Peugeot 408"
2024-10-27,80,Потребительский,200000,35000,37.0,4,0,Анна Александрова,+79900123456,"Покупка планшета"
2024-10-26,81,Ипотека,3800000,140000,260.0,9,1,Александр Беляев,+79011234567,"Квартира в новостройке"
2024-10-26,82,Автокредит,650000,75000,79.0,2,1,Татьяна Морозова,+79122345678,"LADA Vesta"
2024-10-25,83,Потребительский,250000,48000,49.8,5,0,Виктор Казаков,+79233456789,"Курсы английского"
2024-10-25,84,Ипотека,3000000,115000,195.0,8,1,Алина Власова,+79344567890,"Квартира в ипотеку"
2024-10-24,85,Автокредит,900000,100000,100.0,3,1,Виктория Гордеева,+79455678901,"Volvo XC60"
2024-10-24,86,Потребительский,300000,50000,63.0,4,0,Илья Соколов,+79566789012,"Покупка телевизора"
2024-10-23,87,Ипотека,3500000,130000,230.0,9,1,Светлана Козлова,+79677890123,"Квартира у реки"
2024-10-23,88,Автокредит,700000,80000,88.0,2,1,Алексей Козлов,+79788901234,"Ford Focus"
2024-10-22,89,Потребительский,200000,40000,42.0,5,0,Мария Смирнова,+79899012345,"Покупка книг"
2024-10-22,90,Ипотека,2900000,125000,175.0,8,1,Анна Крыжнева,+79900123456,"Квартира в спальном районе"
2024-10-21,91,Автокредит,850000,95000,99.5,3,1,Василий Алексанров,+79011234567,"Nissan Almera"
2024-10-21,92,Потребительский,350000,60000,69.0,4,0,Андрей Тихомиров,+79122345678,"Покупка обуви"
2024-10-20,93,Ипотека,3600000,135000,240.0,9,1,Елена Селезнева,+79233456789,"Квартира у леса"
2024-10-20,94,Автокредит,750000,85000,92.5,2,1,Александр Кузнецов,+79344567890,"Renault Arkana"
2024-10-19,95,Потребительский,300000,50000,63.0,5,0,Ольга Кравченко,+79455678901,"Кредит на путешествие"
2024-10-19,96,Ипотека,3200000,110000,200.0,8,1,Иван Козлов,+79566789012,"Квартира у метро"
2024-10-18,97,Автокредит,900000,100000,100.0,3,1,Маргарита Смирнова,+79677890123,"Kia Ceed"
2024-10-18,98,Потребительский,250000,45000,47.5,4,0,Евгений Лебедев,+79788901234,"Покупка бытовой техники"
2024-10-17,99,Ипотека,4000000,150000,250.0,9,1,Алексей Крыжнев,+79899012345,"Квартира в ипотеку"
2024-10-17,100,Автокредит,600000,70000,76.0,2,1,Анастасия Соколова,+79900123456,"Lada Largus"
